2.32,2.67,2.04,3.35,-6.72,-6.58,593.00,1581.00,1278.00,1049.00,1390.00
2.40,2.81,2.12,3.33,-6.71,-6.52,592.00,1584.00,1281.00,1051.00,1391.00
2.63,2.92,1.97,3.31,-6.69,-6.45,598.00,1582.00,1277.00,1049.00,1390.00
2.54,2.99,2.10,3.34,-6.64,-6.42,591.00,1585.00,1274.00,1045.00,1391.00
2.53,3.49,2.27,3.42,-6.74,-6.33,592.00,1583.00,1275.00,1047.00,1386.00
2.61,3.75,2.29,3.40,-6.83,-6.24,595.00,1584.00,1279.00,1045.00,1386.00


2.16,5.47,0.88,5.94,-1.76,-9.72,594.00,1584.00,1280.00,1047.00,1389.00
1.82,5.59,0.92,5.94,-1.84,-9.70,597.00,1583.00,1273.00,1045.00,1387.00
1.26,5.51,1.17,5.97,-1.90,-9.66,595.00,1585.00,1274.00,1048.00,1385.00
1.19,5.70,1.00,5.91,-1.94,-9.63,597.00,1584.00,1264.00,1045.00,1386.00
1.55,5.76,1.09,5.86,-1.99,-9.62,592.00,1584.00,1261.00,1049.00,1387.00
1.77,5.76,1.21,5.85,-2.03,-9.62,593.00,1585.00,1264.00,1043.00,1391.00
1.41,5.81,1.30,5.81,-2.14,-9.69,595.00,1585.00,1264.00,1043.00,1389.00
1.12,5.82,1.43,5.74,-2.24,-9.70,592.00,1584.00,1267.00,1043.00,1390.00
0.80,5.76,1.53,5.60,-2.42,-9.72,593.00,1581.00,1259.00,1040.00,1386.00
1.35,5.54,1.25,5.44,-2.50,-9.73,598.00,1584.00,1268.00,1049.00,1385.00


11.48,-6.01,-6.09,4.79,-2.08,-10.19,591.00,1552.00,1278.00,1037.00,1377.00
11.27,-6.11,-5.90,4.67,-2.13,-10.17,592.00,1552.00,1280.00,1040.00,1381.00
11.20,-6.21,-5.51,4.56,-2.16,-10.19,583.00,1553.00,1275.00,1043.00,1383.00
11.09,-6.31,-5.56,4.47,-2.19,-10.19,594.00,1555.00,1283.00,1041.00,1378.00
11.01,-6.42,-5.52,4.41,-2.17,-10.18,593.00,1552.00,1283.00,1040.00,1382.00
10.91,-6.62,-5.21,4.36,-2.17,-10.18,594.00,1554.00,1281.00,1040.00,1378.00
11.17,-6.68,-5.07,4.34,-2.20,-10.19,592.00,1553.00,1274.00,1042.00,1389.00
11.08,-6.51,-4.92,4.35,-2.24,-10.17,592.00,1557.00,1281.00,1042.00,1377.00
11.16,-6.32,-4.98,4.31,-2.29,-10.16,592.00,1557.00,1279.00,1045.00,1385.00
11.37,-6.38,-5.14,4.28,-2.33,-10.14,597.00,1558.00,1277.00,1041.00,1381.00


2.82,1.75,0.80,4.34,-3.64,-8.31,597.00,1599.00,1302.00,1050.00,1390.00
2.83,1.64,0.83,4.37,-3.63,-8.32,593.00,1595.00,1298.00,1046.00,1390.00
2.78,1.50,0.84,4.41,-3.62,-8.32,594.00,1596.00,1297.00,1052.00,1392.00
2.77,1.42,0.71,4.42,-3.62,-8.31,601.00,1599.00,1303.00,1053.00,1390.00
2.83,1.32,0.68,4.48,-3.61,-8.31,592.00,1602.00,1302.00,1049.00,1392.00
2.79,1.30,0.53,4.51,-3.60,-8.31,596.00,1587.00,1301.00,1053.00,1390.00
2.82,1.32,0.62,4.55,-3.60,-8.30,603.00,1600.00,1307.00,1051.00,1391.00
2.79,1.32,0.47,4.58,-3.58,-8.29,591.00,1598.00,1301.00,1047.00,1387.00
2.71,1.31,0.45,4.60,-3.59,-8.27,593.00,1595.00,1297.00,1053.00,1391.00
2.71,1.31,0.37,4.63,-3.60,-8.26,597.00,1595.00,1308.00,1045.00,1392.00


2.82,2.06,-0.33,4.41,-3.62,-8.32,599.00,1599.00,1311.00,1046.00,1392.00
2.89,2.11,-0.28,4.41,-3.63,-8.33,594.00,1596.00,1306.00,1053.00,1392.00
2.83,2.08,-0.28,4.41,-3.63,-8.32,594.00,1600.00,1308.00,1055.00,1389.00
2.87,2.05,-0.30,4.40,-3.63,-8.33,596.00,1593.00,1304.00,1054.00,1388.00
2.84,2.02,-0.20,4.41,-3.63,-8.33,592.00,1596.00,1315.00,1044.00,1391.00
2.88,2.05,-0.33,4.40,-3.63,-8.33,591.00,1599.00,1308.00,1047.00,1385.00
2.85,2.11,-0.31,4.41,-3.62,-8.33,597.00,1597.00,1303.00,1053.00,1392.00
2.89,2.12,-0.30,4.42,-3.62,-8.33,593.00,1594.00,1305.00,1051.00,1391.00
2.81,2.19,-0.32,4.42,-3.63,-8.33,597.00,1595.00,1313.00,1045.00,1392.00
2.85,2.19,-0.42,4.42,-3.63,-8.33,591.00,1596.00,1306.00,1053.00,1391.00


2.81,2.07,-0.36,4.40,-3.67,-8.32,604.00,1601.00,1310.00,1045.00,1392.00
2.80,2.06,-0.32,4.40,-3.67,-8.32,599.00,1599.00,1311.00,1043.00,1391.00
2.82,2.08,-0.32,4.40,-3.67,-8.32,601.00,1593.00,1303.00,1047.00,1392.00
2.78,2.10,-0.31,4.40,-3.66,-8.32,593.00,1600.00,1312.00,1045.00,1392.00
2.80,2.11,-0.35,4.40,-3.66,-8.33,599.00,1600.00,1311.00,1041.00,1392.00
2.80,2.10,-0.25,4.40,-3.66,-8.33,594.00,1595.00,1312.00,1053.00,1391.00
2.79,2.14,-0.27,4.40,-3.66,-8.33,596.00,1600.00,1307.00,1049.00,1391.00
2.79,2.10,-0.31,4.41,-3.65,-8.33,592.00,1597.00,1301.00,1052.00,1391.00
2.90,2.10,-0.29,4.41,-3.65,-8.33,595.00,1593.00,1309.00,1047.00,1392.00
2.82,2.10,-0.25,4.42,-3.65,-8.33,592.00,1599.00,1310.00,1043.00,1391.00


12.14,-4.23,-4.17,3.28,-5.73,-6.19,585.00,1534.00,1238.00,1036.00,1382.00
11.90,-4.35,-3.80,3.24,-5.72,-6.20,592.00,1547.00,1232.00,1041.00,1386.00
